username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mervywilliam;2009-12-07 23:59;0;0;"Health clinics: Swine flu vaccine available to all http://bit.ly/56cVof";;;;"6446539829";https://twitter.com/mervywilliam/status/6446539829
JonKeel;2009-12-07 23:59;0;0;"hahahahaaaaaaaa RT @Nigel_D : @MissJeannie tell them you got swine flu : hahahahaaaaaaaa RT @Nigel_D : @MissJeannie te... http://bit.ly/4YUiIP";;@Nigel_D @MissJeannie @Nigel_D @MissJeannie;;"6446539659";https://twitter.com/JonKeel/status/6446539659
JonKeel;2009-12-07 23:59;0;0;"RT @DoctorMurdoch : Dumbfounded by the way the State Health Dept handling Swine Flu vaccine - here is letter I rec'd... http://bit.ly/792Loj";;@DoctorMurdoch;;"6446538664";https://twitter.com/JonKeel/status/6446538664
SwineFluNewsEU;2009-12-07 23:58;0;0;"Latest Swine Flu Namibia News http://tinyurl.com/y8qqx8v #pandemic #namibia";;;#pandemic #namibia;"6446529607";https://twitter.com/SwineFluNewsEU/status/6446529607
Bioethics;2009-12-07 23:57;0;0;"Severity of swine flu in the United States http://bit.ly/5vGuPA";;;;"6446494388";https://twitter.com/Bioethics/status/6446494388
iheadlines;2009-12-07 23:57;0;0;"Swine flu warning as second wave hits the north - http://tinyurl.com/ylz3dax";;;;"6446480321";https://twitter.com/iheadlines/status/6446480321
greatospatravel;2009-12-07 23:56;1;0;"CDC: Few Serious Reactions After Swine Flu Vaccine: Title: CDC: Few Serious Reactions After Swine Flu Vaccine C.. http://bit.ly/6yeZd6";;;;"6446455757";https://twitter.com/greatospatravel/status/6446455757
darksnowforum;2009-12-07 23:56;0;0;"Re: swine flu ..... to vaccinate or not....... that is the ?: My doctor wants me to have the vaccination asap b.. http://bit.ly/5wI9yq";;;;"6446450703";https://twitter.com/darksnowforum/status/6446450703
kaitlinkemp;2009-12-07 23:56;0;0;"Doesn't feel good again.ehh.stupid swine flu .";;;;"6446447174";https://twitter.com/kaitlinkemp/status/6446447174
PharmacyGuru;2009-12-07 23:55;0;0;"Quick Answers To Swine Flu Questions http://bit.ly/6WuAAd";;;;"6446433324";https://twitter.com/PharmacyGuru/status/6446433324
FOX16News;2009-12-07 23:55;0;0;"Swine flu immunization options now available http://bit.ly/4ziaiK";;;;"6446420638";https://twitter.com/FOX16News/status/6446420638
ottawanewslive;2009-12-07 23:54;0;0;"Health clinics: Swine flu vaccine available to all - Atlanta Journal Constitution - http://tinyurl.com/yg6jnej";;;;"6446409379";https://twitter.com/ottawanewslive/status/6446409379
letsrollforums;2009-12-07 23:54;0;0;"200 People die! retweet! Faulty swine flu vaccine withdrawn in Canada (H1N1) http://bit.ly/6qvxzD";;;;"6446395768";https://twitter.com/letsrollforums/status/6446395768
swinefluh1n1;2009-12-07 23:54;0;0;"" Swine flu claims four more lives" http://tinyurl.com/yc99d9d #swineflu #H1N1";;;#swineflu #H1N1;"6446389103";https://twitter.com/swinefluh1n1/status/6446389103
cwboywz;2009-12-07 23:53;0;0;"Blog: Swine Flu Hoax http://my.opera.com/cwbywz/blog/show.dml/5227261";;;;"6446381893";https://twitter.com/cwboywz/status/6446381893
MinnesotaMelody;2009-12-07 23:53;0;0;"Howcome whenever anyone gets a little sick everyone assumes they have the swine flu ?";;;;"6446360719";https://twitter.com/MinnesotaMelody/status/6446360719
