username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
momwithboys;2009-11-04 23:59;0;0;"Wasn't it the Pet Detective that sneezed on them first? Swine flu hits Yanomami Indians in the Amazon: http://bit.ly/30fgQy";;;;"5434640687";https://twitter.com/momwithboys/status/5434640687
heartdisease;2009-11-04 23:59;0;0;"2,000 get swine flu vaccine so far at Dallas County clinic - Dallas Morning News: About 2,000 Dallas County res.. http://tcu6z.tk";;;;"5434632385";https://twitter.com/heartdisease/status/5434632385
ParkinsonsInfo;2009-11-04 23:58;0;0;"Al-Darb Diya: Vaccine May Be More Dangerous Than Swine Flu : This type of prolonged activation has been strongly.. http://tinyurl.com/y9bvhc3";;;;"5434627052";https://twitter.com/ParkinsonsInfo/status/5434627052
FabioMoro;2009-11-04 23:58;0;0;"State and local officials differ with feds on swine flu vaccine availability - Washington Post http://ff.im/aZVQQ";;;;"5434621272";https://twitter.com/FabioMoro/status/5434621272
krissamoo;2009-11-04 23:58;0;0;"dear swine flu , GTFO so me and mommy can go to hawaii! i wanna ride a plane >:( K.thanks.";;;;"5434619230";https://twitter.com/krissamoo/status/5434619230
swineflu_virus;2009-11-04 23:58;0;0;"Canada health worker fired for hockey flu shots http://bit.ly/2vRUFw";;;;"5434617956";https://twitter.com/swineflu_virus/status/5434617956
RSD_Dont_Own_Me;2009-11-04 23:58;0;0;"I just won again on Take180! My Submission was about Celebrities getting Swine Flu !!!!";;;;"5434616646";https://twitter.com/RSD_Dont_Own_Me/status/5434616646
kecifeeds;2009-11-04 23:58;0;0;"Missoula news: Montana Prisoners To Receive Swine Flu Vaccine http://bit.ly/2fEotn";;;;"5434604075";https://twitter.com/kecifeeds/status/5434604075
QuelWilson;2009-11-04 23:57;0;0;"For all pregnant ladies out there: So far I have not had one single side effect from my swine flu shot...can't even tell I got it #fb";;;#fb;"5434600585";https://twitter.com/QuelWilson/status/5434600585
JR_Day;2009-11-04 23:57;0;0;"Another reason to slim down. How obesity puts you at risk from dying from swine flu . Check it out, KL6 @5:30";;@5;;"5434596186";https://twitter.com/JR_Day/status/5434596186
TabathasSecret;2009-11-04 23:57;0;0;"RT @adventuregirl AP: Cat w/ Swine Flu found in Des Moines/Iowa http://bit.ly/27b4ha - Hopefully our lil Boonie avoided infection from me =S";;@adventuregirl;;"5434590179";https://twitter.com/TabathasSecret/status/5434590179
mikesemple;2009-11-04 23:57;0;0;"RI health director says swine flu peaking: PROVIDENCE—The director of the Rhode Island Department of Health sai.. http://bit.ly/39i3ET";;;;"5434589879";https://twitter.com/mikesemple/status/5434589879
Health_Guru83;2009-11-04 23:57;0;0;"Swine Flu Strikes Cat, Kissing May Make Women Immune to Virus, and Woman’s Uterus Falls Out http://bit.ly/zyMTi";;;;"5434589872";https://twitter.com/Health_Guru83/status/5434589872
hopefulparents;2009-11-04 23:57;0;0;"How Effective Is Spray Swine Flu Vaccine For Kids? http://bit.ly/JY5iP #HC";;;#HC;"5434589710";https://twitter.com/hopefulparents/status/5434589710
CJADnews;2009-11-04 23:57;0;0;"Swine-flu vaccine price tag hits $400 million, plus related costs http://bit.ly/3s6JMk";;;;"5434582922";https://twitter.com/CJADnews/status/5434582922
SickasPig;2009-11-04 23:57;0;0;"World first as cat catches swine flu : VETS in the US state of Iowa said a household cat had tested positive for.. http://bit.ly/R1dxV";;;;"5434581855";https://twitter.com/SickasPig/status/5434581855
BostonPopular;2009-11-04 23:57;0;0;"Health: Officials: Swine flu confirmed in Iowa cat - http://is.gd/4Np2j";;;;"5434578823";https://twitter.com/BostonPopular/status/5434578823
ironmill;2009-11-04 23:56;0;0;"(Iron Mill News) -- Officials: Swine flu confirmed in Iowa cat: A 13-year-o.. http://bit.ly/4uUkNZ #breaking #Alert";;;#breaking #Alert;"5434565601";https://twitter.com/ironmill/status/5434565601
UkHealthNews;2009-11-04 23:56;0;0;"Officials: Swine flu confirmed in Iowa cat - The Associated Press http://tinyurl.com/ye5k633";;;;"5434563973";https://twitter.com/UkHealthNews/status/5434563973
nrvouswreckords;2009-11-04 23:56;0;0;"can you get swine flu from bacon?? you could get bird flu from specific birds.....think about it.";;;;"5434563808";https://twitter.com/nrvouswreckords/status/5434563808
aphraner;2009-11-04 23:56;0;0;"This headline just makes my day :) via @WSJHealthBlog : Note to Cats: To Avoid Swine Flu , Stay Away from People http://bit.ly/3RqUuu";;@WSJHealthBlog;;"5434562223";https://twitter.com/aphraner/status/5434562223
SwineFluHeds;2009-11-04 23:56;0;0;"Boston (MA) Globe: Swine flu hits Yanomami Indians in the Amazon . More #Swine Flu #news - http://tinyurl.com/lwe3fk";;;#Swine #news;"5434555475";https://twitter.com/SwineFluHeds/status/5434555475
urbiztopranked;2009-11-04 23:56;0;0;"UPDATE: Two students have mild allergic reactions after swine flu shots (Northeast Mississippi Daily .. http://oohja.com/x1GGJ";;;;"5434552927";https://twitter.com/urbiztopranked/status/5434552927
khon;2009-11-04 23:56;0;0;"Officials: Swine flu confirmed in Iowa cat (AP) : AP - A 13-year-old Iowa cat has been infected with swine fl.. http://bit.ly/3SHA7E";;;;"5434551861";https://twitter.com/khon/status/5434551861
SwineFluNewsORG;2009-11-04 23:55;0;0;"USDA Confirms Indiana Pigs Infected With Swine Flu http://tinyurl.com/yb2ygba #swineflu #pandemic";;;#swineflu #pandemic;"5434542126";https://twitter.com/SwineFluNewsORG/status/5434542126
eardoc;2009-11-04 23:55;0;0;"LHC Violates Human Rights? Swine Flu Vaccine for Poor Countries? http://bit.ly/1ETWY9";;;;"5434538154";https://twitter.com/eardoc/status/5434538154
cesarcd;2009-11-04 23:55;0;0;"Health- Officials: Swine flu confirmed in Iowa cat - The Associated Press: New York Daily NewsOfficials:.. http://bit.ly/lbmMY";;;;"5434537200";https://twitter.com/cesarcd/status/5434537200
myhealthgeek;2009-11-04 23:55;0;0;"RI health director says swine flu peaking http://bit.ly/4fyamb";;;;"5434533759";https://twitter.com/myhealthgeek/status/5434533759
ZMonline;2009-11-04 23:55;0;0;"Good to know: apparently ferrets can get the Swine Flu ...immunise yours today.";;;;"5434528289";https://twitter.com/ZMonline/status/5434528289
