username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_entertainment_;2009-05-29 23:59;0;0;"I've survived the SWINE FLU !.. http://bit.ly/157aHC";;;;"1966031227";https://twitter.com/_entertainment_/status/1966031227
DeGoray;2009-05-29 23:58;0;0;"Sister is entering mexico.Tijuana to be exact.Hold your husband close sis,hokers spread out there like the swine flu .";;;;"1966022625";https://twitter.com/DeGoray/status/1966022625
_tyrone_;2009-05-29 23:58;0;0;"Welcome to Brisbane #swineflu http://yfrog.com/0xm1pj (via @chriskettle ) [hmmmm bacon]";;@chriskettle;#swineflu;"1966015373";https://twitter.com/_tyrone_/status/1966015373
swinefluh1n1;2009-05-29 23:57;0;0;""H1N1 Swine Flu - Google Maps" http://tinyurl.com/l63z22 #swineflu #H1N1";;;#swineflu #H1N1;"1966012176";https://twitter.com/swinefluh1n1/status/1966012176
debzhang;2009-05-29 23:57;0;0;"Had a dream last night, about getting swine flu . It wasn't great. D:";;;;"1966009575";https://twitter.com/debzhang/status/1966009575
onolicious808;2009-05-29 23:57;0;0;"um, just found out that a student at the school i work @has the swine flu . good thing i didnt come in contact w/ the student. =x";;@has;;"1966008380";https://twitter.com/onolicious808/status/1966008380
swinefluh1n1;2009-05-29 23:56;0;0;""Ridgefield swine flu numbers climbing, affecting mostly the young" http://tinyurl.com/nhqj3s #swineflu #H1N1";;;#swineflu #H1N1;"1966006214";https://twitter.com/swinefluh1n1/status/1966006214
debzhang;2009-05-29 23:56;0;0;"Swine flu > Human swine influenza > N1H1 ;) We all know they're the same thing, swine flu just sounds best. Not that it's good!";;;;"1966001284";https://twitter.com/debzhang/status/1966001284
ILCoins;2009-05-29 23:55;0;0;"Keep up to date on H1N1 http://www.cdc.gov/h1n1flu/ . This is an H1N1 scorecard with current information of swine flu . please follow me";;;;"1965995985";https://twitter.com/ILCoins/status/1965995985
NevadaNews;2009-05-29 23:54;0;0;"KTVN RENO Washoe County Reports Eight More Cases of Swine Flu : Washoe County health officials have conf.. http://tinyurl.com/mr44wr";;;;"1965985483";https://twitter.com/NevadaNews/status/1965985483
atra_intelexis;2009-05-29 23:54;0;0;"Let swine flu run its course: expert http://tinyurl.com/nnvddd";;;;"1965984440";https://twitter.com/atra_intelexis/status/1965984440
Meganantonelli;2009-05-29 23:54;0;0;"RT @bbchealth : A viral strain which can be used to vaccine against swine flu has been produced by.. http://tinyurl.com/qh553s";;@bbchealth;;"1965983838";https://twitter.com/Meganantonelli/status/1965983838
ebongeka;2009-05-29 23:54;0;0;"And so the journey begins. DCA is like a huge petri dish. Avian, SARS & swine flu abound. As much as I love to fly, I feel claustrophobic.";;;;"1965980953";https://twitter.com/ebongeka/status/1965980953
SwineFluNewsNZ;2009-05-29 23:52;0;0;"Beijing confirms initial made at home case of swine flu http://tinyurl.com/mbegqr";;;;"1965970524";https://twitter.com/SwineFluNewsNZ/status/1965970524
TDOnline;2009-05-29 23:52;0;0;"Leon County has first confirmed case of swine flu http://u.mavrev.com/6dq6";;;;"1965968450";https://twitter.com/TDOnline/status/1965968450
auspOp;2009-05-29 23:52;0;0;"TOURING : The Game: 29 year old US rapper The Game (pictured left with his solution to the global swine flu outb.. http://tinyurl.com/mc77em";;;;"1965965483";https://twitter.com/auspOp/status/1965965483
rupertwhittam;2009-05-29 23:52;0;0;"http://bit.ly/ZkoOa El Paso swine flu deaths push Texas total to 5: After they died at an El .. http://ping.fm/K6mRj";;;;"1965963437";https://twitter.com/rupertwhittam/status/1965963437
kimiraikkonens;2009-05-29 23:51;0;0;"its official our house does NOT have swine flu . Dad gave us a scare there for a sec tho.";;;;"1965959261";https://twitter.com/kimiraikkonens/status/1965959261
GLBTandProud;2009-05-29 23:51;0;0;"Check out this Vid: Swine Flu 101: 9 My Thoughts on the .... via @twttblogs http://bit.ly/DuI8s";;@twttblogs;;"1965957086";https://twitter.com/GLBTandProud/status/1965957086
SwineFluNewsHK;2009-05-29 23:51;0;0;"Swine Flu Missouri News http://tinyurl.com/qnv85r";;;;"1965953874";https://twitter.com/SwineFluNewsHK/status/1965953874
Sheckley;2009-05-29 23:50;0;0;"guest offered2make lunch.forgot? probly found another mac of mine to fix.poor guy has swine flu or reasonable facsimile.He wont die in Fall";;;;"1965946250";https://twitter.com/Sheckley/status/1965946250
wbtradio;2009-05-29 23:50;0;0;"HEADLINE: Officials confirm 21 Swine flu cases in NC | http://tinyurl.com/nnpwjq";;;;"1965944611";https://twitter.com/wbtradio/status/1965944611
traveltips4all;2009-05-29 23:49;0;0;"Check out this Vid: Swine Flu 101: 9 My Thoughts on the .... via @twttblogs http://bit.ly/DuI8s";;@twttblogs;;"1965943967";https://twitter.com/traveltips4all/status/1965943967
leannschreiner;2009-05-29 23:49;0;0;"swine flu continues to wreak havoc with my life. 2 hills county schools closed until end of school yr b/c of it. gee, a whole 4 days. oooo";;;;"1965942866";https://twitter.com/leannschreiner/status/1965942866
