username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dis0rder;2009-11-02 23:59;0;1;"insomma, moriremo tutti di influenza A. fiuuu, ormai ero quasi rassegnato al morire berlusconiani.";;;;"5377021778";https://twitter.com/dis0rder/status/5377021778
cronaca24;2009-11-02 23:58;0;0;"Influenza A Fazio bimbi piu colpiti http://bit.ly/4hTu6w";;;;"5376990864";https://twitter.com/cronaca24/status/5376990864
informazione;2009-11-02 23:57;0;0;"17 vittime dell' Influenza A: Fazio, nessun allarmismo: Fonte: Vivere Italia Salgono a 17 le vittime in Italia d.. http://bit.ly/1k28jz";;;;"5376967823";https://twitter.com/informazione/status/5376967823
SwineFluNewsCA;2009-11-02 23:55;0;0;"Developments Monday in a ongoing H1N1 pandemic in Canada and around a world: http://tinyurl.com/yjyxmoy #influenza #canada";;;#influenza #canada;"5376934875";https://twitter.com/SwineFluNewsCA/status/5376934875
healthwarehouse;2009-11-02 23:55;0;0;"http://hwhwh.com Q & A Regarding 2009 H1N1 Influenza Vaccine Supply http://bit.ly/NekaS";;;;"5376924250";https://twitter.com/healthwarehouse/status/5376924250
death_murder;2009-11-02 23:54;0;0;"Influenza A H1N1 2009: Ukraine is on alert: more than 2,300 people were admitted to hospital, including more th.. http://bit.ly/c9WmF";;;;"5376910704";https://twitter.com/death_murder/status/5376910704
LondonderryNH;2009-11-02 23:45;0;0;"Story: Influenza Like Symptoms Reports High in Londonderry Schools http://www.londonderrynh.net/?p=13890";;;;"5376683233";https://twitter.com/LondonderryNH/status/5376683233
guide2;2009-11-02 23:43;0;0;"Flu Vaccine Extended To Prevent Swine Flu Outbreak: Wellington, Nov 3 NZPA - The influenza vaccine will contain.. http://nzne.ws/175k";;;;"5376646517";https://twitter.com/guide2/status/5376646517
fluvirus;2009-11-02 23:43;0;0;"Yukon girl dies from swine flu complications: The Yukon has seen its first death related to the H1N1 influenza .. http://bit.ly/4sNfaP";;;;"5376643740";https://twitter.com/fluvirus/status/5376643740
NaturalPradaMom;2009-11-02 23:42;0;0;"RT @Alveena_Babar : Death toll reaches 11 as a 7 year old dies due to the influenza caused by the H1N1 vaccine.";;@Alveena_Babar;;"5376623472";https://twitter.com/NaturalPradaMom/status/5376623472
TK_Shaw;2009-11-02 23:41;0;0;"Session I of a Council On Foreign Relations Symposium on Pandemic Influenza : Science, Economics and Foreign Policy http://bit.ly/3onBRQ";;;;"5376597435";https://twitter.com/TK_Shaw/status/5376597435
USGovNews;2009-11-02 23:41;0;0;"[CDC] Q & A Regarding 2009 H1N1 Influenza Vaccine Supply: This document provides questions and answers abo.. http://bit.ly/4d3pPJ";;;;"5376582165";https://twitter.com/USGovNews/status/5376582165
earthquakesfeed;2009-11-02 23:39;0;0;"H1N1 Flu Updates: 2009 H1N1 Influenza : Resources for Pharmacists: Quicklinks for information r.. http://bit.ly/18PDT9";;;;"5376545322";https://twitter.com/earthquakesfeed/status/5376545322
Tcat;2009-11-02 23:39;0;0;"#h1n1 2009 H1N1 Influenza : Resources for Pharmacists: Quicklinks for information regarding Peramivir IV an.. http://bit.ly/5hhM";;;#h1n1;"5376542699";https://twitter.com/Tcat/status/5376542699
fluarticles;2009-11-02 23:39;0;0;"Yukon girl dies from swine flu complications: The Yukon has seen its first death related to the H1N1 influenza .. http://bit.ly/KHre4";;;;"5376531207";https://twitter.com/fluarticles/status/5376531207
jennstolen;2009-11-02 23:38;0;0;"Influenza A. We're infected. Bah. #fb";;;#fb;"5376510975";https://twitter.com/jennstolen/status/5376510975
H1N1CDC;2009-11-02 23:37;0;0;"update : Q & A Regarding 2009 H1N1 Influenza Vaccine Supply: This document provides questions and answe.. http://bit.ly/4d3pPJ";;;;"5376500448";https://twitter.com/H1N1CDC/status/5376500448
Madchen_Geist;2009-11-02 23:37;0;0;"got some sort of livestock influenza , swine, chkn, cow..take ur pick..";;;;"5376496011";https://twitter.com/Madchen_Geist/status/5376496011
kwaclawski;2009-11-02 23:37;0;0;"RT @BannerBill Hey parents - Confused about H1N1? Here is "A Parent's Guide to H1N1 Influenza " http://bit.ly/4uKi49 #h1n1 #flu";;@BannerBill;#h1n1 #flu;"5376482534";https://twitter.com/kwaclawski/status/5376482534
swinefluh1n1;2009-11-02 23:35;0;0;""Avian Flu Talk: Use of Influenza A (H1N1) 2009 Monovalent Vaccine" http://tinyurl.com/yln6hdj #swineflu #H1N1";;;#swineflu #H1N1;"5376439288";https://twitter.com/swinefluh1n1/status/5376439288
influenzanewsde;2009-11-02 23:31;0;0;"#schweinegrippe Polen ohne Schweinegrippe - Ukraine ohne Geld - Polskaweb News:.. http://tinyurl.com/ydo79ug #influenza #h1n1";;;#schweinegrippe #influenza #h1n1;"5376354603";https://twitter.com/influenzanewsde/status/5376354603
1c2;2009-11-02 23:29;0;0;"Vaporized Propylene Glycol, a Key Ingredient in Electronic Cigarettes, May Prevent Pneumonia, Influenza , and Ot.. http://bit.ly/2Lo1Qr";;;;"5376292953";https://twitter.com/1c2/status/5376292953
informazione;2009-11-02 23:27;0;0;"Inter, a Kiev con la psicosi influenza A: Fonte: Tutto Mercato Web Mascherine di carta come quelle dei medici: .. http://bit.ly/3e8aA7";;;;"5376255039";https://twitter.com/informazione/status/5376255039
mykidsrank;2009-11-02 23:26;0;0;"Gov. Flu News: Federal Plans to Monitor Immunization Safety for the Pandemic 2009 H1N1 Influenza .. http://bit.ly/2jU311";;;;"5376213749";https://twitter.com/mykidsrank/status/5376213749
_brides_;2009-11-02 23:26;0;0;"And influenza that forced him to cancel a string of concerts, but he hoped to return to the stage soon, a spokesman said on Monday.";;;;"5376211941";https://twitter.com/_brides_/status/5376211941
balimore;2009-11-02 23:25;0;0;"#189 CDC H1N1 Flu: Q & A Regarding 2009 H1N1 Influenza Vaccine Supply: This document provides.. http://bit.ly/4d3pPJ";;;#189;"5376193701";https://twitter.com/balimore/status/5376193701
ankariisme;2009-11-02 23:24;0;0;"@tokoloon Yes, I don't think it's influenza because I had no high fever... And thank you <3. I will take care not to get worse.";;@tokoloon;;"5376165773";https://twitter.com/ankariisme/status/5376165773
NatComms;2009-11-02 23:24;0;0;"BH Free vaccine extended to swine flu at risk groups : Tony Ryall | HealthNext winter's seasonal influenza va.. http://bit.ly/fIDE1";;;;"5376165559";https://twitter.com/NatComms/status/5376165559
