username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NallelyRubioC;2009-11-07 23:58;0;0;"En casita para recuperar mi voz... No es influenza !! Oki?!";;;;"5518532484";https://twitter.com/NallelyRubioC/status/5518532484
SwineFluNewsUSA;2009-11-07 23:55;0;0;"Grand Forks Swine Flu Vaccination Clinic Draws Hundreds http://tinyurl.com/yelxnts #influenza #fargo #nd";;;#influenza #fargo #nd;"5518487422";https://twitter.com/SwineFluNewsUSA/status/5518487422
SwineFluNewsCA;2009-11-07 23:49;0;0;"Salvation Army opens flu section for homeless http://tinyurl.com/y8p6ake #influenza #manitoba";;;#influenza #manitoba;"5518363918";https://twitter.com/SwineFluNewsCA/status/5518363918
DonnaCercaUomo;2009-11-07 23:49;0;0;"Salute: Nuova influenza , 14enne muore a Monza - RomagnaOggi.it http://url4.eu/iE7r";;;;"5518363449";https://twitter.com/DonnaCercaUomo/status/5518363449
JorgeLanda;2009-11-07 23:49;0;0;"Yo no tengo amigos para disminuir las probabilidades de contagiarme de #influenza . (via @carlosbuenfil )<- jejeje";;@carlosbuenfil;#influenza;"5518361519";https://twitter.com/JorgeLanda/status/5518361519
MarcoMm;2009-11-07 23:47;0;0;"VS l' influenza : "Oh! Ha 'ditt Topo Giggio ca 'e mettere 'a mano annanze 'a vocca!"";;;;"5518320655";https://twitter.com/MarcoMm/status/5518320655
hiv_tweets;2009-11-07 23:45;0;0;"Novartis Receives Regulatory Approval In Germany For Celtura®, A Cell Culture-based Influenza A(H1N1) Pandemic Vaccin.. http://bit.ly/Mel2f";;;;"5518277262";https://twitter.com/hiv_tweets/status/5518277262
WDR_GROUP;2009-11-07 23:44;0;0;"Web Daily News New Post: Influenza , in Ucraina 135 morti http://bit.ly/2amOu3";;;;"5518252544";https://twitter.com/WDR_GROUP/status/5518252544
El_Universal_Mx;2009-11-07 23:40;0;1;"Alertan que 80% de las personas no se lava las manos: http://bit.ly/4hwTlZ #influenza";;;#influenza;"5518166167";https://twitter.com/El_Universal_Mx/status/5518166167
pastanaga;2009-11-07 23:38;0;0;"¿Será gripe aviar?, ¿ influenza ?, ¿A N1H1?, ¿o acaso un simple resfriado?...";;;;"5518132642";https://twitter.com/pastanaga/status/5518132642
mypedia;2009-11-07 23:34;0;0;"Novartis Receives Regulatory Approval In Germany For Celtura®, A Cell Culture-based Influenza A(H1N1) Pandemic .. http://bit.ly/3oStRO";;;;"5518043296";https://twitter.com/mypedia/status/5518043296
influenzanewsde;2009-11-07 23:31;0;0;"#schweinegrippe Gesundheitsministerium rät zur Schweinegrippe-Impfung - Hannove.. http://tinyurl.com/ycz5xjt #influenza #h1n1";;;#schweinegrippe #influenza #h1n1;"5517989922";https://twitter.com/influenzanewsde/status/5517989922
StratCons;2009-11-07 23:30;0;0;"Influenza en México: La comunidad científica nacional al margen. ¿Mejoraremos? http://bit.ly/4p3kMV #H1N1 #CONACYT #SNI";;;#H1N1 #CONACYT #SNI;"5517960411";https://twitter.com/StratCons/status/5517960411
cronaca24;2009-11-07 23:26;0;0;"Influenza a Bimbo 4 Mesi Morto a Napoli Test Negativo http://bit.ly/1UsRLb";;;;"5517892197";https://twitter.com/cronaca24/status/5517892197
informazione;2009-11-07 23:26;0;0;"Influenza A: Morto l'uomo ricoverato a Mestre. Altri decessi a ...: Fonte: www.lavocedivenezia.it [07/11] Mentr.. http://bit.ly/4EvoCM";;;;"5517883611";https://twitter.com/informazione/status/5517883611
SocialWriters09;2009-11-07 23:25;0;0;"RT @catepol : Influenza suina e vaccinazione http://bit.ly/3txSti parole sante!!";;@catepol;;"5517859236";https://twitter.com/SocialWriters09/status/5517859236
SwineFluNewsAU;2009-11-07 23:23;0;0;"Swine Flu Texas News http://tinyurl.com/ojlv23 #influenza #texas #tx";;;#influenza #texas #tx;"5517827650";https://twitter.com/SwineFluNewsAU/status/5517827650
mrsjanesteele;2009-11-07 23:22;0;0;"Bird flu, influenza and 1918: Mutant Avian tuberculosis Summary. http://drbroxmeyer.netfirms.com/001pdfBIRDFLUEDITORIALPUBLISHED.pdf";;;;"5517804580";https://twitter.com/mrsjanesteele/status/5517804580
ilfoglio_it;2009-11-07 23:20;0;0;"Cronistoria osservante dell' influenza porcina [Mammamia] http://tinyurl.com/ydt3cga";;;;"5517754720";https://twitter.com/ilfoglio_it/status/5517754720
GruveOn;2009-11-07 23:19;0;0;"Eu estou descansando em casa hoje porque eu tenho uma pequena influenza . Esperançosamente, eu sentirei bem em alguns horas!";;;;"5517745611";https://twitter.com/GruveOn/status/5517745611
SwineFluNewsCA;2009-11-07 23:18;0;0;"Nunavut gets adjuvant-free H1N1 vaccine http://tinyurl.com/yked2v3 #influenza #nunavut";;;#influenza #nunavut;"5517715653";https://twitter.com/SwineFluNewsCA/status/5517715653
Charlie_Madison;2009-11-07 23:14;0;0;"7 #h1n1 clades -- the early diversification of influenza A/H1N1pdm http://tinyurl.com/yggjc5f";;;#h1n1;"5517636852";https://twitter.com/Charlie_Madison/status/5517636852
nerdcorepodcast;2009-11-07 23:11;0;0;"Finaliza @nerdcorepodcast #61 Mil gracias por acompañarnos. Pendientes a la edición final versión influenza 10kBit... http://bit.ly/4e1Pi8";;@nerdcorepodcast;#61;"5517584176";https://twitter.com/nerdcorepodcast/status/5517584176
SwineFluNewsEU;2009-11-07 23:05;0;0;"WHO says pandemic flu upon climb in China, Japan http://tinyurl.com/yegqatk #influenza #europeanunion";;;#influenza #europeanunion;"5517451444";https://twitter.com/SwineFluNewsEU/status/5517451444
