username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Roseblue;2009-10-31 23:53;0;0;"RT @capitaleblogue: L'adolescent de 13 ans en Ontario ne serait pas mort de la aH1N1 http://bit.ly/1QdRJb";;@capitaleblogue;;"5325780470";https://twitter.com/Roseblue/status/5325780470
Lamzelok;2009-10-31 23:42;0;0;"Reza este conjuro contra la Ah1n1 : No tengo gripe ni quiero catarro lo que necesito es este chaparro 0|0 (efectos del concierto!) 0.0";;;;"5325578806";https://twitter.com/Lamzelok/status/5325578806
SCHON_SAYS;2009-10-31 23:26;0;0;"ME DISFRAZARÉ VIRUS AH1N1 Y SALDRÉ A CAUSAR PANICO EN LAS CALLES.. TRUCO O GRIPE!";;;;"5325275097";https://twitter.com/SCHON_SAYS/status/5325275097
elimpulsocom;2009-10-31 22:40;0;0;"95 muertes por AH1N1 en el país http://bit.ly/1SFcRl";;;;"5324426979";https://twitter.com/elimpulsocom/status/5324426979
Devilish_Sunny;2009-10-31 22:23;0;0;"@LineVARSITYFC my pix r on twitpic can u find me there nd see them? or imma give u a link ;p idk here is one virus * AH1N1 * u know it,right?";;@LineVARSITYFC;;"5324101061";https://twitter.com/Devilish_Sunny/status/5324101061
byrev;2009-10-31 22:08;0;0;"Basescu cheltuie milioane de EURO pe afisele electorale cu referendumul dar, bani pentru vaccinul gipei AH1N1 nu se gasesc! JOS cu MAFIA";;;;"5323834535";https://twitter.com/byrev/status/5323834535
LankanNews;2009-10-31 21:47;0;0;"Health Ministry downplays AH1N1 epidemic - Nation on Sunday http://bit.ly/3dt2oO";;;;"5323440832";https://twitter.com/LankanNews/status/5323440832
giuliana19;2009-10-31 20:36;0;0;"ABN dice "Min Salud registra disminución en cifras de fallecidos por AH1N1 " ¿Será que resucitaron?";;;;"5322065905";https://twitter.com/giuliana19/status/5322065905
NoticiasVenezue;2009-10-31 20:35;0;0;"Min.Salud registra disminución de cifra de fallecidos por causa de AH1N1 : La viceministra de Redes.. http://bit.ly/4m8pTx #freemediave";;;#freemediave;"5322050750";https://twitter.com/NoticiasVenezue/status/5322050750
PacoGol00;2009-10-31 20:31;0;0;"RT @taberna_de_moe : 1043.¿Con que nombre se conoce popularmente la enfermedad mas contagiosa del mundo? <- AH1N1";;@taberna_de_moe;;"5321978245";https://twitter.com/PacoGol00/status/5321978245
