username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
x_tello;2009-05-17 23:55;0;0;"Se establece una 1ª causa para la gran mortalidad por Influenza en México: Mala Atención Primaria. http://bit.ly/uC5F8 #Influenza #AH1N1";;;#Influenza #AH1N1;"1830473631";https://twitter.com/x_tello/status/1830473631
xazarcom_ru;2009-05-17 23:52;0;0;"Два случая заражения гриппом AH1N1 подтверждены в Чили http://ff.im/-2ZaZD";;;;"1830452512";https://twitter.com/xazarcom_ru/status/1830452512
Gripe_porcina;2009-05-17 23:50;0;0;"Informan sobre el AH1N1 a transportistas - HoraCero: Informan sobre el AH1N1 a transportistasHoraCeroLa ministra.. http://tinyurl.com/qf2gve";;;;"1830436172";https://twitter.com/Gripe_porcina/status/1830436172
latercera;2009-05-17 23:45;0;0;"Centroamérica mostrará campaña contra gripe AH1N1 en Ginebra: Así lo anunció el ministro de Salud de Nicaragua, .. http://twurl.nl/kewlvx";;;;"1830397499";https://twitter.com/latercera/status/1830397499
macarenap;2009-05-17 23:39;0;1;"hoy en Teletrece: la gripe ah1n1 llegó a Chile. 2 casos confirmados. 5 más en estudio. los espero a las 21:00";;;;"1830349348";https://twitter.com/macarenap/status/1830349348
noticiasperu;2009-05-17 23:28;0;0;"[RPP] Paciente con influenza AH1N1 en Arequipa está estable y no representa riesgo de contagio: Gerente reg.. http://tinyurl.com/pfuyej";;;;"1830266447";https://twitter.com/noticiasperu/status/1830266447
superjonas;2009-05-17 23:20;0;0;"Gracias a #internetlujo mi preocupación por unos amigos en México (gripe AH1N1 ) desapareció";;;#internetlujo;"1830204819";https://twitter.com/superjonas/status/1830204819
MrBacanudo;2009-05-17 23:11;0;0;"Engraçado... Ninguém mais lembra da gripe AH1N1 ... :(";;;;"1830136457";https://twitter.com/MrBacanudo/status/1830136457
Peru21pe;2009-05-17 23:04;0;0;"El paciente con gripe #AH1N1 en Arequipa evoluciona favorablemente. #influenza http://is.gd/ANnM";;;#AH1N1 #influenza;"1830079664";https://twitter.com/Peru21pe/status/1830079664
miguelarias;2009-05-17 22:59;0;0;"RT @marconunez : AH1N1 ultima hora: 110 personas en el vuelo COPA, 104 en Chile, 80 ya localizados, 3 sintomaticos aislados, 2 confirmados.";;@marconunez;;"1830039564";https://twitter.com/miguelarias/status/1830039564
luismamani;2009-05-17 22:57;0;0;"Algunas se van, pero otras llegan. La gripe AH1N1 finalmente ha aterrizado en nuestro país.";;;;"1830030453";https://twitter.com/luismamani/status/1830030453
icarmach;2009-05-17 22:56;0;0;"Dicen que la segunda contagiada por AH1N1 , amiga de la primera, se habria ido al hospital del torax en METRO. 0 conciencia #alchancho";;;#alchancho;"1830023247";https://twitter.com/icarmach/status/1830023247
exportando_peru;2009-05-17 22:54;0;0;"2do caso de gripe AH1N1 espero q no lleguen mas...???? o habran mas por ahi sin conocer";;;;"1830007814";https://twitter.com/exportando_peru/status/1830007814
Miecuadorqerido;2009-05-17 22:48;0;0;"El cerco epidemiol�gico por la gripe AH1N1 est� activo en el pa�s: Redacciones Sociedad y Guayaquil Los ex�menes.. http://tinyurl.com/o3wsqn";;;;"1829960783";https://twitter.com/Miecuadorqerido/status/1829960783
Valehh;2009-05-17 22:45;0;0;"OMG!!! llego el virus AH1N1 !!! =O";;;;"1829935675";https://twitter.com/Valehh/status/1829935675
izanagui;2009-05-17 22:28;0;0;"doesn't want to get the AH1N1 !!! the fu...flu is in Chile!!!";;;;"1829804658";https://twitter.com/izanagui/status/1829804658
DanielColodro;2009-05-17 22:27;0;0;"Chanchomán se da a la fuga tras noticia de la aparición de AH1N1 en Chile... #alchancho";;;#alchancho;"1829796913";https://twitter.com/DanielColodro/status/1829796913
Carolonline;2009-05-17 22:27;0;0;"@centella que venga que nadie lo detenga!! Habrá fiscal digo yo para AH1N1";;@centella;;"1829795416";https://twitter.com/Carolonline/status/1829795416
CrisStevenson;2009-05-17 22:26;0;0;"2 CASOS CONFIRMADOS: Si conoces a alguien que llegó a Stgo en Copa Airlines 437 de Pta Cana llamar al 600 360 7777, habiá AH1N1";;;;"1829784758";https://twitter.com/CrisStevenson/status/1829784758
DarkSideMiau;2009-05-17 22:23;0;0;"Check out: "segundo caso AH1N1 en Chile " (http://twitthis.com/lfsdcg)";;;;"1829766061";https://twitter.com/DarkSideMiau/status/1829766061
SIC_ElComercio;2009-05-17 22:19;0;0;"Se confirma 1er caso de gripe AH1N1 en Chile http://tinyurl.com/o5njyx";;;;"1829733056";https://twitter.com/SIC_ElComercio/status/1829733056
canal_chile;2009-05-17 22:19;0;0;"Si conoces a alguien que llegó a Santiago el 16 en Copa Airlines 437 de Punta Cana (escala en Panamá) llamar al 600 360 7777, habiá AH1N1 .";;;;"1829728671";https://twitter.com/canal_chile/status/1829728671
Carolonline;2009-05-17 22:14;0;0;"RT @marconunez : AH1N1 ultima hora: 110 personas en el vuelo COPA, 104 en Chile, 80 ya localizados, 3 sintomaticos aislados, 2 confirmado ...";;@marconunez;;"1829696020";https://twitter.com/Carolonline/status/1829696020
icorvera;2009-05-17 22:09;0;0;"2do caso de ah1n1 confirmado por el ministro eraso, faltan alrededor de 20 pasajeros por localizar, 3 pasajeros mas con sintomas :s";;;;"1829649912";https://twitter.com/icorvera/status/1829649912
marconunez;2009-05-17 22:04;0;0;"@jorgelopezg es la mejor pregunta!, el MINSAL DEBE pedirnos AHORA aumento presupuestario para la pesquiza, deteccion y aislamiento del AH1N1";;@jorgelopezg;;"1829612845";https://twitter.com/marconunez/status/1829612845
elparadiario14;2009-05-17 22:00;0;0;"Segundo caso de AH1N1 en Chile: Se trata de una chilena que viajó con la paciente contagiada desde Punta Can.. http://tinyurl.com/qzppvb";;;;"1829572493";https://twitter.com/elparadiario14/status/1829572493
jorgelopezg;2009-05-17 21:59;0;0;"¿cómo responderemos en la práctica los equipos de salud ante la influenza AH1N1 y más aún, ante la demanda de la población?";;;;"1829569405";https://twitter.com/jorgelopezg/status/1829569405
TheGhost;2009-05-17 21:52;0;0;"El Ministerio de Salud confirma el segundo caso de gripe AH1N1 http://bit.ly/KtNt1";;;;"1829504429";https://twitter.com/TheGhost/status/1829504429
vhduran;2009-05-17 21:51;0;0;"Por fin me funciona twitterberry. Y pensando en lo dos casos de AH1N1 en Chile. Y en reportajes para EEUU sobre chile. Sugerencias?";;;;"1829501277";https://twitter.com/vhduran/status/1829501277
CriStenger;2009-05-17 21:41;0;0;""Confirman segundo caso de AH1N1 en Chile y rastrean a posibles sospechosos…" - latercera http://tumblr.com/xwe1t04kw";;;;"1829419619";https://twitter.com/CriStenger/status/1829419619
Chuenga;2009-05-17 21:40;0;0;"¡Confirmado primer caso de AH1N1 en Chile! http://fon.gs/5jybhv";;;;"1829403550";https://twitter.com/Chuenga/status/1829403550
noticiasperu;2009-05-17 21:31;0;0;"[RPP] Ministerio de Salud confirma casos de gripe AH1N1 en Perú: Óscar Ugarte indicó a RPP que se trata de .. http://tinyurl.com/oe4ftz";;;;"1829328266";https://twitter.com/noticiasperu/status/1829328266
Carolonline;2009-05-17 21:28;0;0;"RT @marconunez : @guaripolo de acuerdo, la voceria del tema AH1N1 ya debería haberla asumido Carolina Toha junto a Alvaro Erazo";;@marconunez @guaripolo;;"1829303180";https://twitter.com/Carolonline/status/1829303180
Cooperativa;2009-05-17 21:27;0;0;"Mujer contagiada con virus AH1N1 evoluciona positivamente a tratamiento antiviral http://tinyurl.com/rdl3nh";;;;"1829297079";https://twitter.com/Cooperativa/status/1829297079
guidogirardi;2009-05-17 21:23;0;0;"Ahora estoy en Perú, pero enterándome de los 2 casos de AH1N1 detectados en el país.";;;;"1829262430";https://twitter.com/guidogirardi/status/1829262430
ExtraEc;2009-05-17 21:20;0;0;"[Última Hora] Perú reporta segundo caso de influenza AH1N1 en país http://tinyurl.com/oddtaf";;;;"1829239027";https://twitter.com/ExtraEc/status/1829239027
zmacksan9;2009-05-17 21:19;0;0;"sabia que la influenza AH1N1 IBA A LLEGAR A CHILE TARDE O TEMPRANO";;;;"1829231282";https://twitter.com/zmacksan9/status/1829231282
marconunez;2009-05-17 21:17;0;0;"@guaripolo de acuerdo, la voceria del tema AH1N1 ya debería haberla asumido Carolina Toha junto a Alvaro Erazo";;@guaripolo;;"1829219814";https://twitter.com/marconunez/status/1829219814
dlazo;2009-05-17 21:15;0;0;"Chile pierde la virginidad con el AH1N1 . Comienza el show mediático!";;;;"1829202656";https://twitter.com/dlazo/status/1829202656
elchepis;2009-05-17 21:10;0;0;"Ay si se trata de números, yo también confirmo tener la #AH1N1 total... sería genial que me enclaustren en mi casa por unas semanas. xD";;;#AH1N1;"1829155067";https://twitter.com/elchepis/status/1829155067
transmediachile;2009-05-17 21:08;0;0;"Emol dice q ya hay un segundo caso de AH1N1";;;;"1829139451";https://twitter.com/transmediachile/status/1829139451
ZarellaSierra;2009-05-17 21:04;0;0;"En Arequipa se confirma que ciudadano norteamericano tiene la gripe #AH1N1";;;#AH1N1;"1829104263";https://twitter.com/ZarellaSierra/status/1829104263
Oscar_Ponce;2009-05-17 21:02;0;0;"Hoy segundo partido de futbolito del fin de semana, no quedé tan mal, vamos a ver que tal voy a estar mañana...y llegó la gripe AH1N1 :S";;;;"1829091455";https://twitter.com/Oscar_Ponce/status/1829091455
Cecilia_HdezP;2009-05-17 21:01;0;0;"two cases AH1N1 in Chile. Copa airlines flight arrived yesterday from Dominican Republic with stopover in Panama http://www.emol.com/";;;;"1829079534";https://twitter.com/Cecilia_HdezP/status/1829079534
jpatinob;2009-05-17 20:59;0;0;"Llegó el virus AH1N1 a Chile...Ahora viene la sicosis y los rumores....Ojala no sea tan grave como lo pintan..";;;;"1829061924";https://twitter.com/jpatinob/status/1829061924
Carolonline;2009-05-17 20:56;0;0;"#AH1N1 Se sugiere dejar de cantar "tres chanchitos desobedientes..." http://bit.ly/3lFTWZ #3hotwords";;;#AH1N1 #3hotwords;"1829033163";https://twitter.com/Carolonline/status/1829033163
Cooperativa;2009-05-17 20:55;0;0;"En la Clínica Dávila se encuentra el posible segundo caso de AH1N1 en Chile http://tinyurl.com/p6o7cu";;;;"1829025333";https://twitter.com/Cooperativa/status/1829025333
Cecilia_HdezP;2009-05-17 20:53;0;0;"the AH1N1 is in Chile, the first case from Dominican Republic";;;;"1829008545";https://twitter.com/Cecilia_HdezP/status/1829008545
elpaiscali;2009-05-17 20:50;0;0;"Aumentan casos sospechosos de contagiados con AH1N1 .: El número de casos confirmados ya está en 11. Al caso de l.. http://tinyurl.com/qek8hj";;;;"1828984217";https://twitter.com/elpaiscali/status/1828984217
Miecuadorqerido;2009-05-17 20:48;0;0;"Per� confirma segundo caso de gripe AH1N1 : Lima. AFP El ministerio peruano de Salud anunci� hoy la confirmaci�n .. http://tinyurl.com/o6qq5h";;;;"1828972026";https://twitter.com/Miecuadorqerido/status/1828972026
Palomismile;2009-05-17 20:42;0;0;"El Viiirus AH1N1 está en Chile por la madafacaaaaa !!!";;;;"1828926851";https://twitter.com/Palomismile/status/1828926851
